Grammar Point,Meaning,Formation,Example (Japanese),Example (Romaji),Example (English),JLPT Level
Noun という Noun (~to iu~),"Used to specify or define one noun with another; 'the noun called', 'the noun that is', or 'a certain'.",Noun1 という Noun2,宮崎駿という人は有名なアニメーション監督です。,Miyazaki Hayao to iu hito wa yuumei na animation kantoku desu.,The person called Hayao Miyazaki is a famous animation director.,JLPT N1
Noun というところだ (Noun to iu tokoro da),Means 'it's approximately...' or 'it's about...'. Used to show approximation or a general assessment.,Noun + というところだ,今回の試験の合格者は半数というところだろう。,Konkai no shiken no goukakusha wa hansuu to iu tokoro darou.,The passers in this exam would be approximately half.,JLPT N1
Noun + というもの (~ to iu mono),"Used to express a generic concept: 'all ~', 'any ~ of that kind'.",Noun + というもの,子供というものは、毎日たくさん遊びます。,"Kodomo to iu mono wa, mainichi takusan asobimasu.","Children, as a group, play a lot every day.",JLPT N1
Noun といったところだ (Noun to itta tokoro da),"Expresses 'at most', 'as much as', or 'limited to'.",Noun + といったところだ,彼の英語レベルは初級といったところだ。,Kare no eigo reberu wa shokyuu to itta tokoro da.,His English level is at most beginner level.,JLPT N1
Noun といわず Noun といわず (A to iwazu B to iwazu),Expresses 'both A and B' or 'be it A or B'; applies to both without distinction.,Noun1 + といわず + Noun2 + といわず + (rest of the sentence),冬といわず夏といわず、彼はいつもアイスクリームを食べます。,"Fuyu to iwazu natsu to iwazu, kare wa itsumo aisukuriimu o tabemasu.","Be it winter or summer, he always eats ice cream.",JLPT N1
Noun + ときたら (〜tokitara),"Expresses strong feelings about a topic; 'speaking of', 'when it comes to'.",Noun + ときたら,寿司ときたら、彼は何も食べられない。,"Sushi tokitara, kare wa nanimo taberarenai.","When it comes to sushi, he can't eat anything.",JLPT N1
Noun とは比べものにならない (~to wa kurabemono ni naranai),Indicates something is not comparable; 'beyond comparison'.,Noun + とは比べものにならない,新しい車の速さは古い車とは比べものにならない。,Atarashii kuruma no hayasa wa furui kuruma to wa kurabemono ni naranai.,The speed of the new car is not comparable to the old one.,JLPT N1
Noun + ともあろう + Noun (~tomoarou~),Used to criticize or question unbecoming behavior by someone of a certain status.,Noun + ともあろう + Noun,先生ともあろう者が、そんな間違いをするなんて。,"Sensei tomoarou mono ga, sonna machigai o suru nante.","For a teacher, it's shocking to make such a mistake.",JLPT N1
Noun ともなると (〜to mo naru to),"'When it comes to...', emphasizes a change of situation or status.",Noun + ともなると,クリスマスともなると、街中がきらきらと輝いて見えます。,"Kurisumasu to mo naru to, machijuu ga kirakira to kagayaite miemasu.","When it comes to Christmas time, the whole city sparkles.",JLPT N1
Noun ともなれば (〜to mo nareba),"Expresses 'if it comes to', 'when', or 'once'.",Noun + ともなれば,試験ともなれば、大抵の人が緊張するものです。,"Shiken to mo nareba, taitei no hito ga kinchou suru mono desu.","When it comes to exams, most people get nervous.",JLPT N1
Noun と相まって (~ to aimatte),"Used to express 'in combination with', 'together with', 'along with'.",Noun + と相まって,天気の良さと相まって、ピクニックは大成功でした。,"Tenki no yosa to aimatte, pikunikku wa daiseikou deshita.","In combination with the good weather, the picnic was a great success.",JLPT N1
Noun なくして～はない (Noun nakushite ~ wa nai),"Expresses 'without ~, there can't be ~'; 'can't do ~ without first doing ~'.",Noun + なくして + Sentence ～はない,努力なくして成功はない。,Doryoku nakushite seikou wa nai.,There is no success without effort.,JLPT N1
Noun なしでは～ない (Noun nashi de wa ~nai),"Expresses the necessity of something; 'cannot do without', 'not possible without'.",Noun + なしでは～ない,水なしでは生きられない。,Mizu nashi de wa ikirarenai.,We cannot live without water.,JLPT N1
Noun なしには～ない (Noun nashi ni wa ~nai),"Means 'without', 'cannot do without', 'not possible without'.",Noun + なしには + Verb-negative,お金なしには生活ができない。,Okane nashi ni wa seikatsu ga dekinai.,I cannot get by without money.,JLPT N1
Noun ならいざ知らず (~nara izashirazu),"Expresses 'maybe X is possible, but Y is definitely not'. Often 'let alone...'.",Noun1 + ならいざ知らず + Noun2 (comment),数学ならいざ知らず、物理なんて全然わからない。,"Suugaku nara iza shirazu, butsuri nante zenzen wakaranai.","Math might be manageable, but as for physics, I'm completely clueless.",JLPT N1
Noun + ならでは (~nara de wa),"Expresses something unique or characteristic only of that noun; 'only found in', 'only possible with'.",Noun + ならでは,これは日本ならではの風景ですね。,Kore wa Nihon nara dewa no fuukei desu ne.,This is a landscape you can only find in Japan.,JLPT N1
Noun なり Noun なり (A nari B nari),"Lists alternatives of the same kind; 'either A or B', 'A or B, for example'.",Noun + なり + Noun + なり,映画なり、音楽なり、何か趣味はありますか。,"Eiga nari, ongaku nari, nanika shumi wa arimasu ka?","Do you have any hobbies, such as movies or music?",JLPT N1
Noun なりとも (~nari tomo),"Indicates even a small amount or degree; 'at least', 'even a little'.",Noun + なりとも,時間が限られているので、一時間なりとも練習すべきだ。,"Jikan ga kagirarete iru node, ichi-jikan nari tomo renshuu subeki da.","Since time is limited, you should practice for at least an hour.",JLPT N1
Noun に Noun を重ねて (A ni B wo kasanete),"This expression is used to describe repeated actions or states, 'one after another' or 'pile up'.",Noun に Noun を重ねて,彼女は失敗に失敗を重ねて、とうとう会社を辞めた。,"Kanojo wa shippai ni shippai wo kasanete, toutou kaisha wo yameta.",She piled up failures upon failures and finally quit the company.,JLPT N1
Noun にあっては (Noun ni atte ha),Indicates a specific situation or environment in which something happens or is the case.,Noun + にあっては,戦争時にあっては、すべての人々が困難に直面していました。,"Sensouji ni atte wa, subete no hito ga konnan ni chokumen shiteimashita.","In wartime, all people were facing difficulties.",JLPT N1
Noun にあるまじき Noun (Noun ni aru majiki Noun),"Expresses the idea of 'unfitting', 'unbecoming' or 'inappropriate'.",Noun1 にあるまじき Noun2,彼は教師にあるまじき言動をとった。,Kare wa kyoushi ni aru majiki gendou wo totta.,He took actions that are unbecoming of a teacher.,JLPT N1
Noun にして (Noun ni shite),"Expresses the idea 'even for', 'even though', or 'in spite of'.",Noun + にして,彼は医者にしてその基本的な知識がないのが信じられない。,Kare wa isha ni shite sono kihonteki na chishiki ga nai no ga shinjirarenai.,"I can't believe that even as a doctor, he doesn't have that basic knowledge.",JLPT N1
Noun にして初めて (Noun nishite hajimete),Expresses 'only when/after... for the first time'.,Noun + にして初めて,大人にして初めて、親の苦労が分かった。,"Otona ni shite hajimete, oya no kurou ga wakatta.",Only when I became an adult did I understand my parents' struggles for the first time.,JLPT N1
Noun にすら (〜ni sura),"Expresses the concept of 'even'; 'even in', 'even as', 'even to'.",Noun + にすら,彼にすらその問題は解けなかった。,Kare ni sura sono mondai wa tokenakatta.,Even he could not solve that problem.,JLPT N1
Noun にとどまらず～も (~ ni todomarazu ~ mo),"This expresses the idea of 'not only...but also', 'not stopping at...'.",Noun + にとどまらず + Noun + も,このアプリは、日本語にとどまらず、他の言語もサポートしています。,"Kono apuri wa, nihongo ni todomarazu, hoka no gengo mo sapooto shite imasu.","This app not only supports Japanese, but also other languages.",JLPT N1
Noun にひきかえ Noun は (~ni hikikae ~ wa),"Represents 'in contrast to', 'as opposed to'.",Noun 1 + にひきかえ + Noun 2 + は,彼の親切さにひきかえ、彼女は無感情だ。,"Kare no shinsetsusa ni hikikae, kanojo wa mukanjou da.","In contrast to his kindness, she is emotionless.",JLPT N1
Noun にもまして (〜ni mo mashite),This expresses 'Even more than; exceeding'.,Noun + にもまして,私は彼にもまして、音楽を愛しています。,"Watashi wa kare ni mo mashite, ongaku o aishiteimasu.",I love music even more than he does.,JLPT N1
Noun によらず (～ni yorazu),"Regardless of, irrespective of.",Noun + によらず,結果は勉強時間によらず変わらないでしょう。,Kekka wa benkyou jikan ni yorazu kawaranai deshou.,The result will not change regardless of the study time.,JLPT N1
Noun に先駆けて (〜ni saki gakete),"Meaning 'ahead of', 'before', or 'preceding in time'.",Noun + に先駆けて,この映画は日本に先駆けて、アメリカで公開されました。,"Kono eiga wa Nippon ni sakigakete, Amerika de koukai saremashita.",This film was released in America ahead of Japan.,JLPT N1
Noun に即した Noun (A ni sokushita B),"Expresses the idea of 'in accordance with', 'based on'.",Noun1 + に即した + Noun2,社会のニーズに即した教育改革が必要だ。,Shakai no niizu ni sokushita kyouiku kaikaku ga hitsuyou da.,We need an educational reform that is in accordance with the needs of society.,JLPT N1
Noun に即して Verb (〜ni soku shite ~),"The grammar point Noun に即して Verb is used to mean 'to act in accordance with', 'in line with' or 'based on'.",Noun + に即して + Verb,会社のポリシーに即して行動しましょう。,Kaisha no porishii ni soku shite koudou shimashou.,Let's act in accordance with the company's policy.,JLPT N1
Noun に言わせれば (Noun ni iwasereba),"Expresses 'according to', 'if you ask', 'in the opinion of'.",Noun + に言わせれば,先生に言わせれば、毎日勉強することが重要だと言う。,"Sensei ni iwasereba, mainichi benkyou suru koto ga juuyou da to iu.","According to the teacher, it's important to study every day.",JLPT N1
Noun に限ったことではない (〜ni kagitta koto dewa nai),"Indicates that something is not only limited to; 'not only', 'not just'.",Noun + に限ったことではない,この問題は日本に限ったことではない。,Kono mondai wa Nihon ni kagitta koto dewa nai.,This issue is not only limited to Japan.,JLPT N1
Noun に限ったことでもない (~ni kagitta koto demo nai),"'Not limited to'; 'not just', 'not exclusively'.",Noun + に限ったことでもない,この試験が難しいのは、数学に限ったことでもない。,"Kono shiken ga muzukashii no wa, suugaku ni kagitta koto demo nai.",The exam being difficult is not limited to just math.,JLPT N1
Noun に限る (~ni kagiru),"Expresses the idea that 'nothing but', 'nothing is better than'.",Noun + に限る,こういう時には家族に話すに限る。,Kou iu toki ni wa kazoku ni hanasu ni kagiru.,"At times like this, there's nothing better than talking to your family.",JLPT N1
Noun ぬいた Noun (A nuita B),Expresses the idea of 'taking something out from something else'.,Noun1 + をぬいた + Noun2,このサラダはにんじんをぬいたサラダです。,Kono sarada wa ninjin o nuita sarada desu.,This is a salad with the carrots removed.,JLPT N1
Noun + ぬいて（~nuite),This is a way to express 'minus' or 'except for' some specific noun.,Noun + ぬいて,私たちは、彼ぬいて全員が集まることができました。,"Watashitachi wa, kare nuite zen'in ga atsumaru koto ga dekimashita.",We were able to gather everyone except for him.,JLPT N1
～ぬく (~nuku),Expresses the concept of doing something completely or thoroughly.,Verb-stem + ぬく,彼は一日中本を読みぬく。,Kare wa ichinichijuu hon o yominuku.,He will read the book all day long.,JLPT N1
Noun+のいかんだ (Noun no ikan da),Depends on; up to,Noun + のいかんだ/Noun + のいかんでは,彼が来るのいかんで決めよう。,Kare ga kuru no ikan de kimeyou.,Let's decide depending on whether he comes or not.,JLPT N1
Noun のいかんでは (Noun no ikan de wa),It depends on the Noun,Noun + のいかんでは,試験の結果のいかんでは、大学の入学許可を得られるかどうかが決まります。,"Shiken no kekka no ikan dewa, daigaku no nyuugaku kyoka o erareru ka douka ga kimarimasu.",Whether you can get permission to enter university depends on the result of the exam.,JLPT N1
Noun のいかんにかかわらず (Noun no ikan ni kakawarazu),"Regardless of, irrespective of.",Noun + のいかんにかかわらず,結果のいかんにかかわらず、彼は決定を後悔しなかった。,"Kekka no ikan ni kakawarazu, kare wa kettei wo koukai shinakatta.","Regardless of the outcome, he didn't regret his decision.",JLPT N1
Noun のいかんによっては (Noun no ikan ni yotte wa),Depending on the matter; depending on noun,Noun + のいかんによっては,天気のいかんによっては、ピクニックを延期しましょう。,"Tenki no ikan ni yotte wa, pikunikku o enki shimashou.","Depending on the weather, we should postpone the picnic.",JLPT N1
Noun のいかんによらず (~ no ikan ni yorazu),"Means 'regardless of', 'irrespective of', or 'no matter'",Noun + のいかんによらず,試験の結果のいかんによらず、自分を信じ続けてください。,"Shiken no kekka no ikan ni yorazu, jibun o shinji tsudzukete kudasai.","Regardless of the test results, keep believing in yourself.",JLPT N1
Noun のごとき Noun (A no gotoki B),Expresses 'like' or 'as if'; something/someone resembles something else strongly.,Noun1 + のごとき + Noun2,彼は神のごとき存在だ。,Kare wa kami no gotoki sonzai da.,He is an existence like a god.,JLPT N1
Noun のことだから (〜no koto dakara),"Because it is about ~, considering it's ~",Noun + のことだから,彼のことだから、きっと大丈夫だと思う。,"Kare no koto dakara, kitto daijoubu da to omou.","Because it's him, I think it will certainly be fine.",JLPT N1
Noun の 嫌いがある (Noun no kirai ga aru),Have a dislike for a particular Noun,Noun + の嫌いがある,彼は魚の嫌いがあるので、寿司を食べません。,"Kare wa sakana no kirai ga aru node, sushi o tabemasen.","He has a dislike for fish, so he doesn't eat sushi.",JLPT N1
Noun の手前 (~no temae),Expresses the idea of 'Before doing something; on the verge of'.,Noun + の手前,試験の手前、遊びに行くのはやめた方がいい。,"Shiken no temae, asobi ni iku no wa yameta hou ga ii.","Just before the exam, it's better to stop going out to play.",JLPT N1
Noun の極み (〜no kiwami),Used to express the extreme or utmost point of something.,Noun + の極み,彼の料理の極みは、誰もマネできない。,"Kare no ryouri no kiwami wa, daremo mane dekinai.",The pinnacle of his cooking is something nobody can imitate.,JLPT N1
Noun の 至り (~no itari),"Expresses 'the height of', 'the extreme of' something.",Noun + の至り,彼の冗談には驚きの至りだ。,Kare no joudan ni wa odoroki no itari da.,His jokes are the height of surprise.,JLPT N1
Noun はいざ知らず (~ wa iza shirazu),"‘I can understand it for ~, but for …? (surprising)’","Noun + はいざ知らず, Noun + とは/なんて/しかし etc.",彼が遅れるのはいざ知らず、彼女まで遅刻するとは意外だ。,"Kare ga okureru no wa iza shirazu, kanojo made chikoku suru to wa igai da.","Well, I can understand him being late, but even her...? That's surprising.",JLPT N1
Noun はおろか～すら (Noun wa oroka ～sura),"Expresses 'not to mention ~, even ~'.","Noun1 はおろか, Noun2 すら/さえ ～",彼は走るはおろか、速く歩くことすらできない。,"Kare wa hashiru wa oroka, hayaku aruku koto sura dekinai.","He can't even walk fast, let alone run.",JLPT N1
Noun はおろか～まで (~wa oroka ~made),"Means 'not just A, but even B'; 'let alone A, even B'.",Noun1 + はおろか + Noun2 + まで,彼は英語はおろか、日本語までペラペラなんです。,"Kare wa eigo wa oroka, nihongo made perapera nan desu.","He is not just fluent in English, but even in Japanese.",JLPT N1
Noun はおろか～も (Noun wa oroka ～ mo),"'Not only...but also', 'not to mention', 'to say nothing of'",Noun + はおろか + Noun + も,絵を描くことはおろか、字さえ書けない。,"E wo kaku koto wa oroka, ji sae kakenai.","Needless to say drawing pictures, he can’t even write letters.",JLPT N1
Noun はさておき (~ wa sateoki),"Means 'putting aside', 'aside from', 'notwithstanding'.",Noun + はさておき,試験の結果はさておき、この学期はとても学ぶことが多かった。,"Shiken no kekka wa sateoki, kono gakki wa totemo manabu koto ga ookatta.","Aside from the exam results, I learned a lot this semester.",JLPT N1
Noun + はどうであれ (~ wa dou de are),This phrase means 'regardless of' or 'no matter how…'.,Noun + はどうであれ,天候はどうであれ、試合は行われます。,"Tenkou wa dou de are, shiai wa okonawaremasu.","No matter what the weather is, the match will be held.",JLPT N1
Noun まみれ (~mamire),Expresses a state in which something is entirely covered or filled with something else.,Noun + まみれ,彼は泥まみれになって帰ってきた。,Kare wa doro mamire ni natte kaette kita.,He returned home covered in mud.,JLPT N1
Noun もさることながら Noun も (A mo saru koto nagara B mo),Means 'not only... but also'; the second noun is especially emphasized.,Noun1 + もさることながら + Noun2 + も,彼の歌唱力もさることながら、ダンスも素晴らしい。,"Kare no kashou-ryoku mo saru koto nagara, dansu mo subarashii.",Not only his singing ability but also his dancing is wonderful.,JLPT N1
Noun も兼ねて (~mo kanete),"Used to express 'as well as', 'also', or 'at the same time'.",Noun + も兼ねて,散歩も兼ねて、公園に行きました。,"Sanpo mo kanete, kouen ni ikimashita.","I went to the park, also for a walk.",JLPT N1
Noun も相まって (~mo aimatte),"Used to express that combined with something else, it caused a certain outcome.",Noun + も相まって,気候も相まって、この地域は農業に適しています。,"Kikou mo aimatte, kono chiiki wa nougyou ni tekishiteimasu.","Combined with the climate, this area is suitable for agriculture.",JLPT N1
Noun を おいて他に Verb ない (〜wo oite hoka ni〜nai),"Means 'apart from ~ there's nothing else,' implying the Noun is the best or most suitable choice.",Noun + をおいて他に + Verb negative form,この仕事を彼に任せる人をおいて他にいない。,Kono shigoto wo kare ni makaseru hito wo oite hoka ni inai.,"Apart from him, there's no one else to entrust this job to.",JLPT N1
Noun をもって (~wo motte),"Used to indicate means, methods, or time; 'with', 'by means of', 'at'.",Noun + をもって,彼は誠実さをもって人々に信頼されています。,Kare wa seijitsusa wo motte hitobito ni shinrai sarete imasu.,He is trusted by people with his honesty.,JLPT N1
Noun をものともせずに (Noun wo mono tomo sezu ni),"Expresses the idea that 'despite something, action was carried out', translating to 'without being fazed by something'.",Noun + をものともせずに,彼女は怖さをものともせずに、暗闇の中へ進んで行った。,"Kanojo wa kowasa wo mono tomo sezu ni, kurayami no naka e susunde itta.","Despite her fear, she went ahead into the darkness.",JLPT N1
Noun をよそに (~wo yoso ni),Despite; Notwithstanding; Regardless of,Noun + をよそに,経済危機をよそに、彼は高級な車を買った。,"Keizai kiki wo yoso ni, kare wa koukyuu na kuruma wo katta.","Despite the economic crisis, he bought a luxury car.",JLPT N1
Noun を余儀なくされる (Noun wo yogi naku sareru),"Expresses the idea of being forced into a certain situation, 'to be compelled', 'to be obliged'.",Noun + を + 余儀なくされる,彼は経済的困難により、退学を余儀なくされた。,"Kare wa keizai-teki konnan ni yori, taigaku wo yogi naku saremashita.","Due to financial difficulties, he was forced to drop out of school.",JLPT N1
Noun を前提として (Noun wo zentei toshite),"Used to express 'on the assumption of', 'based on'.",Noun + を前提として,成功を前提として、ビジネスプランを作成しました。,"Seikou wo zentei toshite, bijinesu puran wo sakusei shimashita.",We made a business plan on the assumption of success.,JLPT N1
Noun を前提にして (Noun wo zentei ni shite),Assuming; presupposing; on the assumption of.,Noun + を前提にして,好天を前提にして、明日のピクニックの計画を立てました。,"Kouten wo zentei ni shite, ashita no pikunikku no keikaku wo tatemashita.",We planned tomorrow's picnic assuming fine weather.,JLPT N1
Noun を境にして (Noun wo sakai ni shite),"Means 'as a turning point', 'since (time)', or 'from (time) on'.",Noun + を境に(して),父の死を境にして、彼の性格が一変した。,"Chichi no shi wo sakai ni shite, kare no seikaku ga ippen shita.",His personality changed completely since his father's death.,JLPT N1
Noun を機にして (~wo ki ni shite),To take the opportunity to; taking the occasion to; on the occasion of.,Noun + を機にして,引っ越しを機にして、家具を新しくしました。,"Hikkoshi wo ki ni shite, kagu wo atarashiku shimashita.",I took the opportunity of moving to get new furniture.,JLPT N1
Noun を皮切りに / を皮切りにして (Noun wo kawakiri ni / wo kawakiri ni shite),"Used to indicate the starting point of some series of events or actions; 'starting with', 'beginning with'.",Noun + を皮切りに / を皮切りにして,彼はその論文を皮切りにして複数の研究を開始した。,Kare wa sono ronbun o kawakiri ni shite fukusū no kenkyū o kaishi shita.,"Starting with that thesis, he started multiple research projects.",JLPT N1
Noun を皮切りにして (Noun wo kawakiri ni shite),"Used to express 'Starting with', 'Beginning with'",Noun + を皮切りに (して),彼はその日を皮切りにして毎日ジムに通い始めました。,Kare wa sono hi o kawakiri ni shite mainichi jimu ni kayoi hajimemashita.,"Starting from that day, he began to go to the gym every day.",JLPT N1
Noun を禁じ得ない (〜wo kinjienai),"'Cannot help but do', or 'inevitable'",Noun + を禁じ得ない,この結果には驚きを禁じ得ない。,Kono kekka ni wa odoroki o kinjienai.,I can't help but be surprised at this result.,JLPT N1
Noun を経て (〜wo hete),Expresses the idea of 'through' or 'via'; going through some process or phase.,Noun + を経て,彼は苦労を経て成功を手に入れた。,Kare wa kurō o hete seikō o te ni ireta.,He achieved success through hardships.,JLPT N1
Noun を踏まえて (〜wo fumaete),Based on; taking into account; in light of,Noun + を踏まえて,過去の結果を踏まえて、新たな計画を立てました。,"Kako no kekka o fumaete, aratana keikaku o tatemashita.","Based on previous results, we have made a new plan.",JLPT N1
Noun を限りに (Noun wo kagiri ni),"Expresses the idea of 'as of', 'with', or 'from', indicating the end of something or a point of change.",Noun + を限りに,今年度を限りに、この大学での教授活動を終えるつもりです。,"Konnendo o kagiri ni, kono daigaku de no kyouju katsudou o oeru tsumori desu.",I intend to end my teaching activities at this university as of this academic year.,JLPT N1
Noun 並み (~nami),"Indicates 'like' or 'as' something or someone; 'equivalent to', 'around'.",Noun + 並み,彼はプロのボクサー並みの力を持っています。,Kare wa puro no bokusaa nami no chikara o motte imasu.,He has power equivalent to a professional boxer.,JLPT N1
Noun + 前提で (Noun + zentei de),"Expresses a condition or requirement for something to be established: 'on the assumption that', 'under the condition of'.",Noun + 前提で,説明できる英語力がある前提で、この仕事を引き受けてください。,"Setsumei dekiru eigo-ryoku ga aru zentei de, kono shigoto o hikiukete kudasai.",Please take on this job on the assumption that you have enough English skills to explain.,JLPT N1
Verbる / Noun(である) + 限り(は) (kagiri (wa)),"Expresses 'as long as', 'while this condition is true'.","Verb-dictionary form + 限り(は)
Noun(である) + 限り(は)",私が生きている限りは、あなたを支えます。,"Watashi ga ikite iru kagiri wa, anata o sasaemasu.","As long as I'm alive, I will support you.",JLPT N1
Verb がてら (~ gatera),"Expresses doing something while doing another; 'while', 'on the occasion of'.",Verb (dictionary or -ます stem) + がてら,散歩がてらに郵便局へ行った。,Sanpo gatera ni yūbinkyoku e itta.,I went to the post office while taking a walk.,JLPT N1
Verb こそすれ (~koso sure),"Often used in the pattern 'Xこそすれ、Y〜ない', meaning 'One might do X, but definitely not Y'.",Verb-ますstem + こそすれ、(絶対に)～ない,彼は友達を助けこそすれ、自分を卑下することはありません。,"Kare wa tomodachi o tasuke koso sure, jibun o higesuru koto wa arimasen.","He might help his friends, but he never belittles himself.",JLPT N1
Verb させられる (~saserareru),Expresses 'being forced to do something' or 'being made to do something'.,Verb-casual (non-past) + させられる,彼に無理やり飲ませられた。,Kare ni muriyari nomaserareta.,He forced me to drink against my will.,JLPT N1
Verb ざるを得ない (~ zaru wo enai),"'Cannot but', 'have no choice but to', 'forced to'",Verb-dictionary form + ざるを得ない (する → せざるを得ない),この仕事が嫌ならもう辞めざるを得ない。,Kono shigoto ga iya nara mō yamezaru o enai.,"If you hate this job, you have no choice but to quit.",JLPT N1
Verb ずじまい (~zu jimai),Expressing regret for not having done something; not being able to; missing the chance to do it.,Verb-ない form (remove ない) + ずじまい,日本へ来たのに、一度も富士山を見ずじまいで帰国してしまった。,"Nihon e kita noni, ichidomo Fuji-san o mizu jimai de kikoku shite shimatta.",I came to Japan but ended up going home without ever getting to see Mt. Fuji.,JLPT N1
Verb ずとも (〜zu tomo),"Means 'Even without doing (X), (Y) can still happen'.",Verb-negative stem + ずとも,朝ごはんを食べずとも、働くことができます。,"Asagohan o tabezu tomo, hataraku koto ga dekimasu.","Even without eating breakfast, I can work.",JLPT N1
Verb ずにはおかない (~zuni wa okanai),"Expresses 'cannot help but...', 'will definitely...', or 'must do something'.",Verb-ない form (remove ない) + ずにはおかない,彼が困っていると聞いたら、助けずにはおかない。,"Kare ga komatte iru to kiitara, tasukezuni wa okanai.","If I hear he is in trouble, I cannot help but assist him.",JLPT N1
Verb ずにはすまない (Verb zuni wa sumanai),"'Cannot do without...', 'unavoidable', 'have to'.",Verb-ない form (remove ない) + ずにはすまない,この問題を解決しないと、社会全体が影響を受けるので、解決せずにはすまない。,"Kono mondai o kaiketsu shinai to, shakai zentai ga eikyō o ukeru node, kaiketsu sezu ni wa sumanai.","Since this issue will affect the entire society if not resolved, we cannot do without solving it.",JLPT N1
Verb そうにない (Verb sou ni nai),Expresses unlikelihood or that something does not seem likely to happen.,Verb-ますstem + そうにない,彼はそんなに早く走れそうにない。,Kare wa sonna ni hayaku hashire sō ni nai.,He doesn't seem likely to run that fast.,JLPT N1
Verb そうもない (〜sou mo nai),"Expresses negative potential; 'it doesn't seem like...', 'it's not likely...'.",Verb-ますstem + そうもない,今日中に仕事を終えそうもない。,Kyōjū ni shigoto o oesō mo nai.,It doesn't seem like I'll finish my work today.,JLPT N1
Verb そばから (〜soba kara),"Expresses that as soon as one action finishes, another begins immediately.",Verb-ますstem + そばから,掃除をするそばから子供たちが散らかす。,Sōji o suru soba kara kodomo-tachi ga chirakasu.,"As soon as I clean, the kids mess it up.",JLPT N1
Verb たが最後 (〜ta ga saigo),"Emphasizes 'once something happens, there is no going back'; 'once', 'as soon as', etc.","Verb-casual, past (た form) + が最後",彼が一度怒ったが最後、誰も彼を止めることはできません。,"Kare ga ichido okotta ga saigo, dare mo kare o tomeru koto wa dekimasen.","Once he gets angry, no one can stop him.",JLPT N1
Verb たことにしてください (~ ta koto ni shite kudasai),Asking someone to pretend or accept that something has already happened or taken a certain state.,"Verb (past, casual) + ことにしてください",昨日のことは忘れたことにしてください。,Kinou no koto wa wasureta koto ni shite kudasai.,Please act as if you have forgotten about yesterday.,JLPT N1
Verb たら Verb たで (~ tara ~ tade),"Conveys that if something happens (or doesn’t happen), there is a particular consequence or situation either way.",Verb-た form + ら + (same Verb-た form) + で,行ったら行ったで大変だし、行かなかったら行かなかったで後悔しそうだ。,"Ittara itta de taihen da shi, ikanakattara ikanakatta de kōkai shisō da.","If I go, it’s a hassle; if I don’t go, I’ll regret it.",JLPT N1
Verb たら きりがない (Verb tara kiri ga nai),"Indicates an endless or unending cycle once an action is started; 'if one starts doing something, it will not stop.'",Verb-た form + ら + きりがない,このエンジンを修理したら、またすぐ壊れて、直したらきりがない。,"Kono enjin o shuuri shitara, mata sugu kowarete, naoshitara kiri ga nai.","If I fix this engine, it breaks again, and if I fix it again, it never ends.",JLPT N1
Verb たら最後 (〜tara saigo),"Expresses that once a certain action happens, the situation changes irreversibly—usually in a negative way.",Verb-た form + ら最後,このゲームを始めたら最後、時間の経つのを忘れてしまいます。,"Kono gēmu o hajimetara saigo, jikan no tatsu no o wasurete shimaimasu.","Once you start this game, you completely lose track of time.",JLPT N1
Verb つ Verb つ (Verb tsu Verb tsu),Expresses two alternating actions happening repeatedly.,Verb-ますstem + つ + Verb-ますstem + つ,朝から晩まで働きつ勉強しつで、疲れてしまった。,"Asa kara ban made hataraki tsu benkyō shi tsu de, tsukarete shimatta.","I’ve been working and studying from morning till night, and now I’m exhausted.",JLPT N1
Verb てからというもの (Verb te kara to iu mono),"Expresses that ever since a certain event happened, a condition has continued until now.",Verb-て form + からというもの,彼女と別れてからというもの、一人で過ごす時間が増えました。,"Kanojo to wakarete kara to iu mono, hitori de sugosu jikan ga fuemashita.","Ever since I broke up with her, I've spent more time alone.",JLPT N1
Verb てこそ (Verb te koso),"Emphasizes 'only by doing something, a certain result or realization can occur.'",Verb-て form + こそ,実際に使ってこそ、その価値を理解できる。,"Jissai ni tsukatte koso, sono kachi o rikai dekiru.",You can only understand its value by actually using it.,JLPT N1
Verb ては (～te wa),"Expresses a repeated pattern or cycle, often implying a frustrating outcome; 'whenever X happens, Y happens again.'",Verb-て form + は,彼女に会っては、いつも緊張してしまいます。,"Kanojo ni atte wa, itsumo kinchō shite shimaimasu.","Whenever I meet her, I get nervous.",JLPT N1
Verb ては Verb (~ te wa ~),"Expresses a repeated pattern of action; translates as 'every time', 'whenever', etc.",Verb-て form + は + Verb,私が通勤しては、電子書籍を読んでいます。,"Watashi ga tsūkin shite wa, denshi shoseki o yonde imasu.","Whenever I commute, I read e-books.",JLPT N1
Verb てまでも (~ temademo),"Expresses 'even if it means doing...', 'no matter what it takes'.",Verb-て form + までも,試験に合格するために、寝る時間を削ってまでも勉強します。,"Shiken ni gōkaku suru tame ni, neru jikan o kezutte mademo benkyō shimasu.","I will study to pass the exam, even if it means cutting down on sleep.",JLPT N1
Verb てみせる (Verb te miseru),"'Show by doing', 'demonstrate', 'prove by action'.",Verb-て form + みせる,彼はそのパズルを解いてみせた。,Kare wa sono pazuru o toite miseta.,He solved the puzzle to show me.,JLPT N1
